Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
sidewalk,Jimmys pizza,1901-07-14T00:00:00.000,Brooklyn,11207,"561  Wilson avenue, Brooklyn, NY",40.691276,-73.909129
roadway,Lusardi's,1904-02-02T00:00:00.000,Manhattan,10075,"1494 2nd Avenue, Manhattan, NY",40.772513,-73.955646
both,Fuel Fever,1923-08-02T00:00:00.000,Brooklyn,11214,"8615 18th Ave, Brooklyn, NY",40.606811,-74.003101
both,Tacos El Bronco,1911-11-02T00:00:00.000,Brooklyn,11232,"4324 4th ave, Brooklyn, NY",40.650214,-74.008696
sidewalk,The Common,1925-10-01T00:00:00.000,Brooklyn,11209,"9406 3rd ave, Brooklyn, NY",40.617819,-74.033376
both,Hector Caribbean restaurant and lounge llc,1909-04-29T00:00:00.000,Brooklyn,11210,"3407  Ave H, Brooklyn, NY",40.631918,-73.94348
sidewalk,Gotta Getta Bagel of Queens of NYC,107-09,Queens,11375,"107-09 71st Ave , Queens, NY",40.720401,-73.844651
sidewalk,Sizzle Falafel bar,186-15,Queens,11366,"186-15 Union turnpike , Queens, NY",40.728716,-73.782708
both,Tacos El Bronquito,405-407,Brooklyn,11232,"405-407 45st, Brooklyn, NY",40.649001,-74.0092
both,Sushi by Bou / SideBAR,1900-04-27T00:00:00.000,Manhattan,10003,"118 East 15th Street, Manhattan, NY",40.73475,-73.988526
sidewalk,Talia's Restaurant Group LLC,1901-10-29T00:00:00.000,Manhattan,10025,"668 Amsterdam Avenue, Manhattan, NY",40.79186,-73.971979
sidewalk,The New Portales Taqueria Corp,2508A,Queens,11106,"2508A  Broadway, Queens, NY",40.763304,-73.928214
sidewalk,Saffron indian cuisine,44-04,Queens,11103,"44-04 Broadway, Queens, NY",40.7574,-73.91567
sidewalk,sweet garden,79-22,Queens,11366,"79-22 parsons blvd, Queens, NY",40.720652,-73.809264
sidewalk,Sagitarios sports bar,1937-12-13T00:00:00.000,Queens,11435,"13862 Jamaica ave, Queens, NY",40.702528,-73.813824
both,Porteñas,1901-07-10T00:00:00.000,Brooklyn,11211,"557 Lorimer Street, Brooklyn, NY",40.713619,-73.949308
sidewalk,Cafe 28,1900-09-01T00:00:00.000,Manhattan,10016,"245 5th Ave, Manhattan, NY",40.744478,-73.987434
both,Bia Bar & Grill,1900-03-07T00:00:00.000,Brooklyn,11211,"67 South 6th Street, Brooklyn, NY",40.711212,-73.965939
sidewalk,los toldos restaurante,84-01,Queens,11372,"84-01  Northern Blvd, Queens, NY",40.755777,-73.883371
both,Havana Cafe,1903-05-31T00:00:00.000,Bronx,10462,"1247 Castle Hill Avenue, Bronx, NY",40.833081,-73.851323
both,Katsuhama 55,43 West,Manhattan,10019,"43 West 55th street, Manhattan, NY",40.762286,-73.976363
sidewalk,Bia Restaurant  & Bar,271-12,Queens,11040,"271-12 Union Turnpike, Queens, NY",40.751906,-73.702723
both,Crispin’s,1902-02-02T00:00:00.000,Manhattan,10019,"764 10th Ave, Manhattan, NY",40.765837,-73.990935
both,Sanger Hall,48-20,Queens,11104,"48-20  Skillman Ave, Queens, NY",40.746317,-73.91589
both,The Bread Factory Cafe,1901-04-14T00:00:00.000,Manhattan,10018,"470 7th Avenue, Manhattan, NY",40.751949,-73.989941
both,pino wine bar,1900-06-04T00:00:00.000,Manhattan,10016,"156 east 33rd street, Manhattan, NY",40.745495,-73.979664
roadway,Arte Cafe,106-114,Manhattan,10023,"106-114 W 73rd ST, Manhattan, NY",40.778319,-73.978845
both,D'Amico Coffee Inc.,1900-11-04T00:00:00.000,Brooklyn,11231,"309  Court Street, Brooklyn, NY",40.683533,-73.995324
roadway,Simple loaf Bakehouse,1900-11-05T00:00:00.000,Brooklyn,11215,"310 5th Avenue , Brooklyn, NY",40.67322,-73.982945
both,FINNEGAN'S WAKE,1903-09-22T00:00:00.000,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",40.768585,-73.95544
sidewalk,The Little Beet,1903-02-13T00:00:00.000,Manhattan,10001,"1140 Broadway, Manhattan, NY",40.743907,-73.988979
both,Takahachi Tribeca Restaurant,1900-05-24T00:00:00.000,Manhattan,10013,"145 Duane Street, Manhattan, NY",40.716432,-74.008016
both,FINNEGAN'S WAKE,1903-09-22T00:00:00.000,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",40.768585,-73.95544
both,B-CUP CAFE,1900-07-30T00:00:00.000,Manhattan,10009,"212 AVE B., Manhattan, NY",40.728603,-73.978651
sidewalk,"L'imprimerie, LLC",1904-03-03T00:00:00.000,Brooklyn,11237,"1524 Myrtle Avenue, Brooklyn, NY",40.699382,-73.912746
both,ELI'S ESSENTIALS,1900-01-26T00:00:00.000,Manhattan,10128,"26 E91 ST, Manhattan, NY",40.784274,-73.957069
sidewalk,Casa Verde,1909-07-02T00:00:00.000,Staten Island,10306,"3471 Richmond Road, Staten Island, NY",40.572986,-74.136457
both,Off the Hook Raw Bar & Grill,28-08,Queens,11103,"28-08 34th Street, Queens, NY",40.767115,-73.917903
sidewalk,Bob's Your Uncle,1902-07-17T00:00:00.000,Manhattan,10025,"929 Columbus Ave , Manhattan, NY",40.798922,-73.963084
both,bean & barley,1905-10-10T00:00:00.000,Manhattan,10026,"2110 Frederick Douglass Bvld, Manhattan, NY",,
both,CRUST BROOKLYN PIZZERIA,1902-01-03T00:00:00.000,Brooklyn,11207,"734  EVERGREEN AVE, Brooklyn, NY",40.686772,-73.909334
both,ELI'S ESSENTIALS,1900-01-26T00:00:00.000,Manhattan,10128,"26 E91 ST, Manhattan, NY",40.784274,-73.957069
both,La Fonda Restaurant and Tapas Bar Inc,169 East,Manhattan,10029,"169 East 106th Street, Manhattan, NY",40.791933,-73.945511
sidewalk,Wu & Nussbaum,1907-12-06T00:00:00.000,Manhattan,10025,"2897  Broadway, Manhattan, NY",40.805994,-73.965384
sidewalk,BiddysPub,1900-10-27T00:00:00.000,Manhattan,10128,"301  91 street, Manhattan, NY",,
both,Bagel Point,1900-03-27T00:00:00.000,Brooklyn,11222,"87  NORMAN AVE, Brooklyn, NY",40.725373,-73.951955
both,Delici Corp,1900-03-11T00:00:00.000,Manhattan,10038,"71 Nassau Street , Manhattan, NY",40.709639,-74.008325
sidewalk,Starr Coffee inc.,1900-01-30T00:00:00.000,Brooklyn,11237,"30 Wyckoff , Brooklyn, NY",,
both,HONEST INDIAN,258-03,Queens,11104,"258-03 HILLSIDE AVE, Queens, NY",40.736988,-73.709981
both,Wheeltapper Pub,1900-05-20T00:00:00.000,Manhattan,10017,"141 East 44th, Manhattan, NY",,
both,Bean & Barley,1905-10-18T00:00:00.000,Manhattan,10026,"2118 Frederick Douglass Bvld, Manhattan, NY",,
sidewalk,Bangkok cuisine,1929-05-05T00:00:00.000,Queens,11375,"10718 70th road, Queens, NY",40.721327,-73.845403
roadway,ENTHAICE THAI KITCHEN,33-20,Queens,11106,"33-20 31ST AVENUE , Queens, NY",40.763459,-73.921655
both,HONEST INDIAN,258-03,Queens,11004,"258-03 HILLSIDE AVE, Queens, NY",40.736988,-73.709981
both,Esme,1902-09-25T00:00:00.000,Brooklyn,11222,"999  Manhattan Avenue, Brooklyn, NY",40.733227,-73.954771
both,ENNJU,20 E,Manhattan,10003,"20 E 17TH STREET, Manhattan, NY",40.73744,-73.991091
both,FINNEGAN'S WAKE,1903-09-22T00:00:00.000,Manhattan,10021,"1361  1ST AVE, Manhattan, NY",40.768585,-73.95544
sidewalk,Atlas Social Club,1902-01-22T00:00:00.000,Manhattan,10019,"753 9th Avenue, Manhattan, NY",40.76391,-73.988654
sidewalk,Colbeh,1900-02-01T00:00:00.000,Manhattan,10018,"32 W 39th street, Manhattan, NY",40.752072,-73.983466
both,Gold Room BK,1901-03-04T00:00:00.000,Brooklyn,11225,"429  Rogers Avenue, Brooklyn, NY",40.662057,-73.953676
roadway,Arte Cafe,191-199,Manhattan,10011,"191-199 7th Avenue, Manhattan, NY",40.742949,-73.996467
roadway,Délice & Sarrasin,1900-01-20T00:00:00.000,Manhattan,10014,"20 christopher street, Manhattan, NY",40.733919,-74.00066
both,Creme,27 1/2,Manhattan,10002,"27 1/2  Essex St, Manhattan, NY",,
both,Dough,14,Manhattan,10011,"14 West 19, Manhattan, NY",,
both,ELI'S ESSENTIALS,1291,Manhattan,10028,"1291 LEINGTON AVE, Manhattan, NY",,
both,ATLA,372,Manhattan,10012,"372  Lafayette St. , Manhattan, NY",40.727139,-73.993766
roadway,Beny’s delice,903,Brooklyn,11238,"903 Fulton, Brooklyn, NY",,
both,L'Accolade,302,Manhattan,10014,"302 Bleecker St, Manhattan, NY",40.732599,-74.003792
sidewalk,ELI'S ESSENTIALS,1291,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",40.780069,-73.955158
sidewalk,TriniJam BK Roti Bar & Grill,9501,Brooklyn,11236,"9501  Flatlands Avenue, Brooklyn, NY",40.642666,-73.902219
both,Rockaway West Indian Roti Shop,12221,Queens,11420,"12221 Rockaway Blvd q, Queens, NY",40.675668,-73.815763
sidewalk,Haru,229,Manhattan,10036,"229 W. 43rd Street, Manhattan, NY",40.757136,-73.987446
both,Rhodora Wine Bar,197,Brooklyn,11205,"197 Adelphi, Brooklyn, NY",,
sidewalk,Lm cafe,2,Queens,11101,"2 11-11 44th rd, Queens, NY",,
roadway,Bleecker Street Bar,58,Manhattan,10012,"58 Bleeker Street, Manhattan, NY",40.726099,-73.995007
sidewalk,Angela's Cuisine,440 East,Bronx,10454,"440 East  138TH Street , Bronx, NY",40.80853,-73.92154
both,Barepas,1792,Manhattan,10031,"1792  Amsterdam Ave., Manhattan, NY",40.827579,-73.945904
both,E.A.T.,1064,Manhattan,10028,"1064 MADISON AVE, Manhattan, NY",40.777378,-73.961366
both,HUDSON HEIGHTS BAR & GRILL CORP,4241,Manhattan,10033,"4241  BROADWAY, Manhattan, NY",40.849641,-73.936311
both,Vicolina,1300,Manhattan,10128,"1300 Madison Ave, Manhattan, NY",40.784878,-73.955891
both,The Hideaway,185,Manhattan,10013,"185 Duane Street, Manhattan, NY",40.717423,-74.010259
both,McCarren Hotel and Pool,160,Brooklyn,11249,"160 North 12th Street, Brooklyn, NY",40.72101,-73.955428
roadway,The Gem Saloon,375,Manhattan,10016,"375 3rd Avenue, Manhattan, NY",40.741438,-73.981235
sidewalk,Cafe Mistral,330-332,Brooklyn,11215,"330-332  5th Street, Brooklyn, NY",40.671851,-73.984845
both,JADE SUSHI AND BAR INC,1506,Manhattan,10033,"1506 ST NICHOLAS AVENUE, Manhattan, NY",40.851988,-73.931769
both,ROLLN,38,Manhattan,10010,"38 East 23rd St, Manhattan, NY",40.74066,-73.9875
both,GYRO WORLD,194-21-23,Queens,11358,"194-21-23 NORTHERN BLVD, Queens, NY",,
both,Pure Bistro,88,Brooklyn,11217,"88 5th Avenue, Brooklyn, NY",40.680438,-73.977744
sidewalk,Atera,77,Manhattan,10013,"77  Worth Street, Manhattan, NY",40.716704,-74.005425
sidewalk,Agata & Valentina,1505,Manhattan,10075,"1505  First Avenue, Manhattan, NY",40.772064,-73.952903
roadway,Perry Mallas,369,Manhattan,10013,"369  GREENWICH STREET, Manhattan, NY",40.719352,-74.010299
both,EL JOBITO SEAFOOD RESTAURANT CORP,1579,Manhattan,10040,"1579 ST NICHOLAS AVENUE, Manhattan, NY",40.854221,-73.930158
both,Breakroom,83,Manhattan,10013,"83  Baxter Street, Manhattan, NY",40.71672,-73.999812
roadway,WOGIES BAR & GRILL,1,Manhattan,10014,"1  Charles St, Manhattan, NY",40.735289,-74.000541
both,Cantina,605,Manhattan,10036,"605 W48th street, Manhattan, NY",40.764789,-73.995903
both,GYRO WORLD,194-21-23,Queens,11358,"194-21-23 NORTHERN BLVD, Queens, NY",,
both,Canal Bar,270,Brooklyn,11215,"270 3rd Avenue, Brooklyn, NY",40.677854,-73.985774
both,Little Park,85,Manhattan,10007,"85  W Broadway, Manhattan, NY",40.715205,-74.009476
both,ELI'S ESSENTIALS,1291,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",40.780069,-73.955158
both,Bocca di Bacco,169,Manhattan,10011,"169 9th Avenue, Manhattan, NY",40.744536,-74.002764
both,Konditori,696,Brooklyn,11238,"696 Washington Ave, Brooklyn, NY",40.677135,-73.963649
both,As Is NYC,734,Manhattan,10019,"734  10th Avenue , Manhattan, NY",40.764775,-73.991712
both,Bocca di Bacco,828,Manhattan,10019,"828 9th Avenue, Manhattan, NY",40.766257,-73.986914
both,The Corner Spot,2280,Queens,11105,"2280 Steinway Street, Queens, NY",40.771584,-73.907623
both,Pil pil spanish tapas,265 east,Manhattan,10075,"265 east 78, Manhattan, NY",,
both,Otto’s Shrunken Head,538,Manhattan,10009,"538 East 14th Street, Manhattan, NY",40.729819,-73.978922
sidewalk,"EDDIE'S PIZZA & TAQUERIA, CORP.",184,Manhattan,10029,"184 East 116th Street, Manhattan, NY",40.798158,-73.940547
both,Konditori,114,Brooklyn,11201,"114 Smith St, Brooklyn, NY",40.687793,-73.98976
both,Bocca di Bacco,635,Manhattan,10036,"635 9th Avenue, Manhattan, NY",40.760156,-73.991387
both,The Beatrice Inn,285,Manhattan,10014,"285 West 12th Street, Manhattan, NY",40.737553,-74.004121
both,JONES WOOD FOUNDRY,401,Manhattan,10021,"401 East 76th Street, Manhattan, NY",40.770256,-73.953771
sidewalk,White Tiger,601,Brooklyn,11238,"601 Vanderbilt Ave, Brooklyn, NY",40.67953,-73.968176
both,BAR NANA,63,Manhattan,10014,"63 GANSEVOORT ST, Manhattan, NY",40.739397,-74.007282
both,Nacho Macho Taco,82,Brooklyn,11217,"82 5th ave. , Brooklyn, NY",40.680564,-73.977661
both,Konditori,186,Brooklyn,11217,"186 5th Ave, Brooklyn, NY",40.677191,-73.979944
sidewalk,Le Fond,105,Brooklyn,11222,"105 Norman Avenue, Brooklyn, NY",40.725685,-73.951009
both,Ichibantei,401,Manhattan,10009,"401  East 13th st, Manhattan, NY",40.730523,-73.982732
roadway,Il Gattopardo,13-15,Manhattan,10019,"13-15 54th Street, Manhattan, NY",,
both,Salvatores of soho,3738,Bronx,10463,"3738  Riverdale Ave , Bronx, NY",40.887781,-73.907353
sidewalk,BB Pizza & Dine,605,Bronx,10454,"605 Southern Blvd, Bronx, NY",40.812652,-73.902345
sidewalk,Farra,71,Manhattan,10013,"71  Worth Street, Manhattan, NY",40.716816,-74.005664
both,The Guthrie Inn,1259,Manhattan,10029,"1259  Park Avenue, Manhattan, NY",40.787443,-73.951892
both,Parlay,4024,Brooklyn,11232,"4024 8th Avenue, Brooklyn, NY",40.646545,-73.998076
roadway,Broken Land,105,Brooklyn,11222,"105 Franklin Street, Brooklyn, NY",40.729561,-73.957555
sidewalk,Kato Sake Works,5,Brooklyn,11206,"5 Central Ave, Brooklyn, NY",40.702719,-73.933278
sidewalk,La Amistad Pizzerria & Grill inc.,2067,Manhattan,10029,"2067 2nd ave, Manhattan, NY",40.790842,-73.94229
both,Dua Kafe,520,Manhattan,10009,"520  E 14th St, Manhattan, NY",40.730072,-73.979503
both,Iron bar Hell’s Kitchen,713,Manhattan,10036,"713 8th Avenue , Manhattan, NY",40.759011,-73.988514
both,north miznon,161,Manhattan,10023,"161  west 72nd street , Manhattan, NY",40.778198,-73.980632
sidewalk,Maxi’s Noodle,135-11,Queens,11354,"135-11  38th Ave, Queens, NY",40.760314,-73.832202
roadway,Tsurutontan Udon Noodle Brasserie,64W,Manhattan,10036,"64W 48th, Manhattan, NY",,
both,Hamilton’s,2826,Brooklyn,11218,"2826  Fort Hamilton Parkway, Brooklyn, NY",40.649051,-73.9769
sidewalk,Los Nísperos,500E 149,Bronx,10455,"500E 149 brook ave, Bronx, NY",,
both,Blue Bottle,101,Manhattan,10003,"101 University place , Manhattan, NY",40.734009,-73.992708
sidewalk,Fiesta Mexican Restaurant Corp,5828,Queens,11377,"5828 Roosevelt Avenue, Queens, NY",40.745384,-73.906251
sidewalk,Eataly,101,Manhattan,10007,"101  liberty street, Manhattan, NY",40.709765,-74.011816
both,Sister Jane,349,Manhattan,10003,"349 East 13th, Manhattan, NY",,
both,88 18 TROPICAL RESTAURANTE CORP,8818,Queens,11421,"8818 JAMAICA AVENUE, Queens, NY",40.692685,-73.856107
sidewalk,La Chula,137,Manhattan,10029,"137  East 116th Street , Manhattan, NY",40.798763,-73.941929
both,Ilforno,713,Manhattan,10036,"713 8th ave, Manhattan, NY",40.759011,-73.988514
sidewalk,Bread & Spread,151,Brooklyn,11201,"151 Front street, Brooklyn, NY",40.70245,-73.987189
both,ENJOY KITCHEN & GRILL CORP,582,Manhattan,10034,"582 WEST 207TH STREET, Manhattan, NY",40.866937,-73.920737
sidewalk,Sip Sak,928,Manhattan,10022,"928  2nd Ave, Manhattan, NY",40.754437,-73.968829
both,KING GRILL RESTAURANT,855,Bronx,10459,"855 EAST 169TH STREET, Bronx, NY",40.829253,-73.897251
both,Pops deli,47-31,Queens,11101,"47-31 Vernon Blvd , Queens, NY",40.744672,-73.953442
both,Grimaldis Coal Brick Oven Pizzeria,1,Brooklyn,11201,"1 Front , Brooklyn, NY",,
both,DEVON,252,Manhattan,10002,"252  BROOME ST, Manhattan, NY",40.718018,-73.989849
sidewalk,Tarachi,222,Brooklyn,11238,"222 Greene Ave, Brooklyn, NY",40.687145,-73.961988
both,Sushi Dojo,110,Manhattan,10009,"110 1st Avenue, Manhattan, NY",40.726733,-73.985904
both,BRASSERIE SAINT MARC,136,Manhattan,10003,"136 2ND AVENUE, Manhattan, NY",40.728819,-73.987498
roadway,il Buco Alimentari & Vinera,53,Manhattan,10012,"53 Great Jones, Manhattan, NY",,
sidewalk,ELI'S ESSENTIALS,1390,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",40.774391,-73.95723
roadway,Frenchette,241,Manhattan,10013,"241 West Broadway, Manhattan, NY",40.719745,-74.005887
sidewalk,Blvd prime grill,9717,Queens,11374,"9717  Queens Blvd , Queens, NY",40.72955,-73.860733
sidewalk,Caracas Arepa Bar,291,Brooklyn,11211,"291  Grand ST, Brooklyn, NY",40.712993,-73.957446
both,LaLou,581,Brooklyn,11225,"581 Vanderbilt Ave, Brooklyn, NY",40.680364,-73.96788
roadway,TRU ASTORIA,35-19,Queens,11105,"35-19 Ditmars Boulevard , Queens, NY",40.774728,-73.908698
both,Pause cafe,3,Manhattan,10002,"3  Clinton street, Manhattan, NY",40.721171,-73.983993
sidewalk,Xime deli corp,448,Bronx,10454,"448 East 138th st, Bronx, NY",40.80845,-73.921356
sidewalk,F. Ottomanelli Burgers and Belgian Fries,60-15a,Queens,11377,"60-15a  Woodside avenue, Queens, NY",40.745075,-73.904285
sidewalk,CAMPESINO DOMINICANO RESTAURANT,1987,Bronx,10453,"1987 UNIVERSITY AVENUE, Bronx, NY",40.854552,-73.911578
sidewalk,Pick A Bagel,891,Manhattan,10019,"891  8th Avenue, Manhattan, NY",40.764267,-73.984676
both,Postmark Cafe,326,Brooklyn,11215,"326 6th Street, Brooklyn, NY",40.671307,-73.985469
both,Legend Cookhouse,135-11,Queens,11420,"135-11  Rockaway Blvd, Queens, NY",40.674488,-73.802763
sidewalk,Uva,1486,Manhattan,10075,"1486  Second Avenue, Manhattan, NY",40.772334,-73.955773
sidewalk,ELI'S ESSENTIALS,1390,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",40.774391,-73.95723
sidewalk,Hometown Bar B Que,454,Brooklyn,11231,"454 Van Brunt Street, Brooklyn, NY",40.674853,-74.015848
both,Nicky's Unisex,90,Brooklyn,11249,"90 South 4th Street, Brooklyn, NY",40.71237,-73.964239
both,Krave It,40-15,Queens,11361,"40-15 Bell Blvd, Queens, NY",40.764101,-73.771228
sidewalk,Blue Corn Restaurant Corp,1969,Manhattan,10032,"1969 Amsterdam Ave, Manhattan, NY",40.833113,-73.941838
both,FRUTAS LOCAS MARY CORP,48,Staten Island,10306,"48 NEW DOLP PLZ S, Staten Island, NY",,
sidewalk,Manuel E Restaurant,13028,Queens,11368,"13028 CORONA AVENUE , Queens, NY",,
roadway,il Buco,47,Manhattan,10012,"47 Bond Street, Manhattan, NY",40.726028,-73.992885
sidewalk,Los Tacos No.1,136,Manhattan,10007,"136 Church St. , Manhattan, NY",40.714217,-74.008513
sidewalk,Maya,1191,Manhattan,10065,"1191 1st Avenue, Manhattan, NY",40.763059,-73.959479
sidewalk,Takahachi Bakery,25,Manhattan,10007,"25  Murray Street, Manhattan, NY",40.713588,-74.008361
roadway,Dog and bone,338,Manhattan,10010,"338  3rd Avenue , Manhattan, NY",40.740028,-73.982289
sidewalk,Bettolona,3143,Manhattan,10027,"3143  Broadway , Manhattan, NY",40.813993,-73.959542
sidewalk,South slope ramen,651,Brooklyn,11215,"651 5th ave, Brooklyn, NY",40.662646,-73.992056
sidewalk,"abc Cocina, abcV",38,Manhattan,10003,"38 East 19th st, Manhattan, NY",40.738258,-73.989456
roadway,The Dandy Lion Diner,8901,Brooklyn,11209,"8901  3rd Avenue/89th Street, Brooklyn, NY",,
both,Walter's,166,Brooklyn,11217,"166 Dekalb Avenue, Brooklyn, NY",40.689618,-73.973273
both,Freehand New York Hotel,23,Manhattan,10010,"23 Lexington, Manhattan, NY",,
both,Nowon,507,Manhattan,10009,"507 E 6th st, Manhattan, NY",40.725291,-73.983505
roadway,Los Tacos No.1,229,Manhattan,10036,"229  W 43rd St, Manhattan, NY",40.757136,-73.987446
both,Sanma Japanese Restaurant,10,Staten Island,10314,"10  Akron st, Staten Island, NY",40.611738,-74.158831
both,El Montañero bakery & restaurant,55-21,Queens,11385,"55-21 Myrtle Avenue , Queens, NY",40.699946,-73.90783
both,BOMBAY BISTRO,31,Manhattan,10014,"31 CORNELIA ST, Manhattan, NY",40.731334,-74.002417
both,Metate,3515,Bronx,10463,"3515 Johnson ave, Bronx, NY",40.885909,-73.909912
roadway,Sushi kingdom and Asian fusion,71-30,Queens,11367,"71-30  Main street, Queens, NY",40.727153,-73.822079
both,Drip Cafe LLC,830,Brooklyn,11226,"830 Rogers Ave , Brooklyn, NY",40.650342,-73.952445
both,Tosca Marquee,4034,Bronx,10465,"4034 East Tremont Ave, Bronx, NY",40.819559,-73.81755
both,Malecon Restaurant,4141,Manhattan,10033,"4141 Broadway, Manhattan, NY",40.846302,-73.938429
both,C D B KITCHEN & BAR CORP,4996,Manhattan,10034,"4996 BROADWAY, Manhattan, NY",40.86822,-73.918241
both,Las Chelitas,7312,Brooklyn,11228,"7312  13Th Avenue , Brooklyn, NY",40.621339,-74.006361
both,Petaluma Restaurant,1356,Manhattan,10021,"1356  First Ave, Manhattan, NY",40.768187,-73.955707
both,Tasty Pastry Shoppe,8216-8218,Brooklyn,11228,"8216-8218 13 Avenue, Brooklyn, NY",40.616203,-74.011706
sidewalk,Old Man Hustle,39,Manhattan,10002,"39 essex st, Manhattan, NY",40.716135,-73.989467
both,Venchi,861,Manhattan,10003,"861 Broadway , Manhattan, NY",40.737369,-73.990268
both,Den Social,65,Manhattan,10018,"65  W 36th St., Manhattan, NY",40.750733,-73.986
sidewalk,Kirsh Bakery and Kitchen,551,Manhattan,10024,"551 Amsterdam Ave, Manhattan, NY",40.788067,-73.974725
both,The Churchill,45,Manhattan,10016,"45 E 28th street , Manhattan, NY",40.743783,-73.985139
sidewalk,Patent Coffee / Patent Pending,49,Manhattan,10001,"49 West 27th Street, Manhattan, NY",40.744911,-73.98974
both,Sympatoch Cafe inc,25-27,Queens,11103,"25-27 Steinway Street, Queens, NY",40.767566,-73.911993
both,L & L Local Inc.,41-04,Queens,11103,"41-04  31st Avenue, Queens, NY",40.760872,-73.916156
sidewalk,Greek Express,3733,Bronx,10463,"3733   Riverdale Avenue, Bronx, NY",40.887586,-73.907273
both,Grace Barz LTD,33 01,Queens,11106,"33 01 Broadway, Queens, NY",40.761177,-73.923661
both,Beco,45,Brooklyn,11211,"45  Richardson Street, Brooklyn, NY",40.718258,-73.950589
sidewalk,chaan teng,698 9th,Manhattan,10036,"698 9th 9th Ave and 48Street, Manhattan, NY",,
sidewalk,Harlem Crust Pizza,2446-48,Manhattan,10030,"2446-48 Adams Clayton Powell JR BLVD, Manhattan, NY",,
sidewalk,Rinconcito Paisa,1976,Staten Island,10303,"1976 Forest Ave, Staten Island, NY",40.625805,-74.155082
roadway,ATTABOY,134,Manhattan,10009,"134 ELDRIDGE ST, Manhattan, NY",40.718913,-73.991566
both,The Good Batch,936,Brooklyn,11238,"936  Fulton, Brooklyn, NY",,
both,MOMENTOS GRILL BAR & RESTAURANT,41-07,Queens,11368,"41-07  99th street, Queens, NY",40.747746,-73.865545
sidewalk,Libertad restaurant,9619,Queens,11417,"9619 Liberty ave, Queens, NY",40.680692,-73.842624
both,Pick A Bagel,39,Manhattan,10023,"39 west end avenue, Manhattan, NY",40.773223,-73.989295
sidewalk,Pollos Mario,86-13,Queens,11372,"86-13  Roosevelt Avenue, Queens, NY",40.748061,-73.879959
both,TABLESIDE ITALIAN COOK SHOPPE,345,Manhattan,10003,"345   E 6th street, Manhattan, NY",40.726944,-73.98743
sidewalk,Momosan Ramen & Sake,342,Manhattan,10016,"342 Lexington Ave, Manhattan, NY",40.749853,-73.977219
roadway,Stocked Burger,663,Brooklyn,11238,"663 Washington Ave, Brooklyn, NY",40.677333,-73.963663
sidewalk,Blue Marble Ice Creamn,186,Brooklyn,11238,"186 Underhill Avenue, Brooklyn, NY",40.674957,-73.96675
roadway,K’OOK,324 E,Manhattan,10003,"324 E 6th Street, Manhattan, NY",40.727073,-73.98778
roadway,Caffe Napoli,191,Manhattan,10013,"191  Hester Street, Manhattan, NY",40.718123,-73.997803
both,The Standard Grill,844 - 848,Manhattan,10014,"844 - 848 Washington Street, Manhattan, NY",40.740534,-74.007784
both,Leo’s Restaurant and Sports Bar,84-19,Queens,11372,"84-19  Roosevelt Avenue, Queens, NY",40.747865,-73.881811
sidewalk,El Pollo Inka Peru,89-12,Queens,11372,"89-12 Northern Blvd., Queens, NY",40.756255,-73.878641
sidewalk,Asuka Sushi,300,Manhattan,10011,"300 300 WEST 23ST , Manhattan, NY",,
both,Klinsrisuk,7610,Queens,11373,"7610 Woodside ave , Queens, NY",40.743425,-73.888672
both,High Low Beverage Company,295,Brooklyn,11237,"295 Wyckoff Ave, Brooklyn, NY",40.700493,-73.912795
sidewalk,Naruto Ramen,1596,Manhattan,10128,"1596  3rd ave, Manhattan, NY",40.78113,-73.952319
sidewalk,Motorino,349,Manhattan,10003,"349 East 12th Street, Manhattan, NY",40.730528,-73.984734
both,Capizzi,547,Manhattan,10018,"547  9th avenue , Manhattan, NY",40.757365,-73.993416
both,El Castillo De Jagua Restaurant,113,Manhattan,10002,"113 Rivington Street, Manhattan, NY",40.719904,-73.98781
sidewalk,Carlos pizza,575,Queens,11385,"575 Seneca , Queens, NY",,
sidewalk,The Bailey Restaurant,52,Manhattan,10005,"52 William , Manhattan, NY",,
both,Khao Kang,7620,Queens,11373,"7620 Woodside Ave., Queens, NY",40.743436,-73.888611
both,The Buffs,13-13,Queens,11373,"13-13  40th Ave, Queens, NY",40.755594,-73.94192
sidewalk,El Pollo Inka Peru,112-20,Queens,11375,"112-20  Qieens Blvd. 1 Floor, Queens, NY",,
both,Pastrami Queen,233,Manhattan,10019,"233 W 49th Street, Manhattan, NY",40.761102,-73.985218
both,L'adresse,1065,Manhattan,10018,"1065  Avenue of the americas, Manhattan, NY",40.753749,-73.984916
sidewalk,Interlude Coffee & Tea,145,Manhattan,10013,"145 Hudson St., Manhattan, NY",40.721073,-74.008398
both,Sake Bar Satsko,202,Manhattan,10009,"202 East 7th St, Manhattan, NY",40.724687,-73.980316
roadway,Flute Bar,1024851,Manhattan,10019,"1024851 54th, Manhattan, NY",,
