Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
sidewalk,Cipriani Downtown,376,Manhattan,10012,"376 W Broadway, Manhattan, NY",40.723769,-74.002605
sidewalk,El Valle Tipico Restaurant,849,Bronx,10473,"849  Castle Hill Avenue, Bronx, NY",40.824446,-73.849304
sidewalk,Primola Restaurant,1226,Manhattan,10065,"1226 Second Avenue, Manhattan, NY",40.763938,-73.961905
roadway,The Boil,139,Manhattan,10002,"139 Chrystie St, Manhattan, NY",40.719602,-73.993099
both,The Farm on Adderley,1108,Brooklyn,11218,"1108  Cortelyou Road, Brooklyn, NY",40.639725,-73.96773
both,LOVE Korean Barbeque,319,Manhattan,10016,"319 5th Avenue, Manhattan, NY",40.747241,-73.98542
both,Lilia Ristorante,567,Brooklyn,11211,"567 Union Avenue, Brooklyn, NY",40.717487,-73.952195
sidewalk,peri ela,1361,Manhattan,10128,"1361 lexington ave, Manhattan, NY",40.782217,-73.953589
roadway,Floyd’s Coffee House,1332,Bronx,10461,"1332 Commerce Avenue, Bronx, NY",40.836621,-73.840463
sidewalk,SUSHI SASABUNE NEW YORK,401,Manhattan,10021,"401 East 73rd street, Manhattan, NY",40.768352,-73.955158
both,The Queensboro,80-02,Queens,11372,"80-02  Northern Boulevard, Queens, NY",40.755372,-73.887071
roadway,Red Hook Lobster Pound,284,Brooklyn,11231,"284  Van Brunt Street, Brooklyn, NY",40.679754,-74.010099
both,The Elgin,64,Manhattan,10036,"64 West 48th Street, Manhattan, NY",40.758239,-73.980396
both,Mama Raos pizzeria &restaurant,6408,Brooklyn,11219,"6408 11th ave , Brooklyn, NY",40.629126,-74.005436
roadway,Sofia’s of Little Italy,143,Manhattan,10013,"143 Mulberry Street, Manhattan, NY",40.718768,-73.997587
both,Elite cafe,7228,Queens,11367,"7228 Main st , Queens, NY",40.72581,-73.821397
both,Little Canal,26,Manhattan,10002,"26 Canal Street, Manhattan, NY",40.71445,-73.990412
both,Old Timers,1157,Brooklyn,11206,"1157 Myrtle Ave, Brooklyn, NY",40.697047,-73.934733
sidewalk,The Granddaddy,290,Manhattan,10002,"290 Grand Street, Manhattan, NY",40.717631,-73.9921
roadway,Street Taco,358,Manhattan,10016,"358 3rd Ave, Manhattan, NY",40.740829,-73.981704
sidewalk,Vinicio's Restaurant,40-21,Queens,11368,"40-21 108th street, Queens, NY",40.750518,-73.85865
both,Queens Brewery,1539,Queens,11385,"1539 Covert Street, Queens, NY",40.694651,-73.904123
both,Barnacho,920,Manhattan,10017,"920 Second Ave, Manhattan, NY",40.754111,-73.969068
both,Mama Raos pizzeria &restaurant,6406,Brooklyn,11219,"6406 11 th ave , Brooklyn, NY",,
both,Laila restaurant,45,Staten Island,10309,"45  Page ave , Staten Island, NY",40.522783,-74.234917
